Ticker,volatility
ADANIENT,0.028600523792508794
ADANIPORTS,0.026028643454512664
APOLLOHOSP,0.014134574705070777
ASIANPAINT,0.012664679670924878
AXISBANK,0.015624964929158446
BAJAJ-AUTO,0.01760936993982153
BAJAJFINSV,0.014117849543856996
BAJFINANCE,0.01591849489773447
BEL,0.023283392059875133
BHARTIARTL,0.013624507728829286
BPCL,0.022068851102665002
BRITANNIA,0.013039218369984173
CIPLA,0.016332415765760364
COALINDIA,0.021411449147905555
DRREDDY,0.012490100212885834
EICHERMOT,0.01609889840743809
GRASIM,0.014465113811981584
HCLTECH,0.014294650681131728
HDFCBANK,0.013489800405382278
HDFCLIFE,0.01463007725858726
HEROMOTOCO,0.016563238026907092
HINDALCO,0.019586836411430927
HINDUNILVR,0.012073895796063714
ICICIBANK,0.01278889738810472
INDUSINDBK,0.019111193335251304
INFY,0.014491913053868204
ITC,0.011943702458319614
JSWSTEEL,0.01638393235672221
KOTAKBANK,0.014215663882255635
LT,0.016963904150046494
M&M,0.01921277294878687
MARUTI,0.013712493772447973
NESTLEIND,0.012516833638236866
NTPC,0.019475011701296695
ONGC,0.022247312175683376
POWERGRID,0.018671442296664325
RELIANCE,0.013562067130073354
SBILIFE,0.015113428426196441
SBIN,0.0179393448217402
SHRIRAMFIN,0.02168666460862403
SUNPHARMA,0.01173282293774823
TATACONSUM,0.014804773668135304
TATAMOTORS,0.017876505156417165
TATASTEEL,0.018231639152358897
TCS,0.013161771587106073
TECHM,0.016019868874918942
TITAN,0.014135893038630169
TRENT,0.023073798932652143
ULTRACEMCO,0.014314596706888214
WIPRO,0.01746788628190528
